,0
runtime,0.22919812029775233
n_cast,0.16250858699622064
n_producers,0.05630973364527821
n_writers,0.05445747476134446
n_prodcomp,0.05377514663190917
n_genres,0.046214766622878406
n_director,0.038362384208915315
genre_Documentary,0.029214350816554123
lang_en,0.023838228530678584
genre_Horror,0.020087887366249554
genre_Comedy,0.017241817628136653
lang_other,0.016937918673286104
genre_Drama,0.015592553810791205
genre_Music,0.014946530009325807
lang_ja,0.013149162457866868
genre_Romance,0.011649258808393369
genre_Thriller,0.011017406651178199
lang_es,0.011005859964134055
genre_Action,0.01070282324352003
genre_Crime,0.008890624702187941
lang_de,0.008643261709462457
lang_fr,0.008181080343887325
genre_Animation,0.008089253805788288
lang_ru,0.00759190495325081
genre_Family,0.007113777528052915
lang_zh,0.006752922729123157
genre_Adventure,0.006685077867553593
genre_Science Fiction,0.006655145187598513
genre_TV Movie,0.006536780066210871
lang_it,0.0055570782167788345
genre_Mystery,0.005366564712575928
lang_pt,0.005215686370967806
genre_Fantasy,0.005057130086328373
genre_History,0.004891858774200954
lang_ko,0.004307052981772779
lang_sv,0.0034657376180354475
genre_War,0.003197049962461146
lang_hi,0.003101406806864414
lang_cn,0.002978384716628214
genre_Western,0.002854035782472719
prodcomp_Nikkatsu Corporation,0.002613564981507448
lang_ml,0.0023324300479976123
prodcomp_Lenfilm,0.001876814542852093
prodcomp_Toei Company,0.0018393832364734213
prodcomp_BBC,0.0017054008641140615
lang_ta,0.0017015503946762583
prodcomp_Mosfilm,0.001637111847602507
prodcomp_Gorky Film Studios,0.0013381973545221432
actor_Brahmanandam,0.0013351338728273582
actor_Aldo Sambrell,0.0012305105934815063
actor_Michael Madsen,0.0009739115669992258
actor_Suet Lam,0.0009736246068807619
actor_Anupam Kher,0.0009420387056617307
prodcomp_CNC,0.0009175283500658095
prodcomp_ZDF,0.0008939895157855023
prodcomp_Warner Bros. Pictures,0.0008615144457561267
actor_Mickey Rooney,0.0007845229374268964
actor_Manobala,0.0007612637201076347
dir_Ulli Lommel,0.0007583563692809031
prodcomp_Shaw Brothers,0.0007366310266101379
actor_Ren Osugi,0.0007250185613021595
prodcomp_Metro-Goldwyn-Mayer,0.0006845977181397547
prodcomp_Columbia Pictures,0.0006619390527533231
prodcomp_Paramount,0.0006365722444570625
prodcomp_Filmové studio Barrandov,0.0005952442518431477
dir_Kōji Wakamatsu,0.0005848204542610328
actor_José Riesgo,0.0005751035293787612
prodcomp_ARD,0.0005657555837724613
dir_Frank McDonald,0.0005505927641181408
prodcomp_Universal Pictures,0.0005309908876605824
prodcomp_20th Century Fox,0.0005214096759357053
dir_Charles Band,0.0004094078605238437
prodcomp_Shochiku,0.0003894248859396632
prodcomp_TOHO,0.0003669785015456663
actor_Hulk Hogan,0.0003231174336668204
actor_Mark Calaway,0.0003139817998852191
actor_Jagathy Sreekumar,0.00030863789116706083
prodcomp_France 3 Cinéma,0.0002974116917058198
actor_Nassar,0.0002732088358084314
prodcomp_Canal+,0.00026907626219402624
actor_Alberto Sordi,0.00024230312238623076
prodcomp_ARTE,0.00022244153036337947
dir_Rogelio A. González,0.00021131285114451385
actor_Byron Foulger,0.00020540957294728465
actor_Emma Roldán,0.00020355791373420946
actor_Eric Roberts,0.000198789307440066
prodcomp_Republic Pictures,0.00019414990072222298
actor_Jeffrey Sayre,0.00018453755490478483
dir_Emilio Gómez Muriel,0.00018443510298728961
prodcomp_Reel One Entertainment,0.00017826129769654985
actor_Indrans,0.00016754134061665603
dir_Allan Dwan,0.00016671731826018853
actor_Hiroki Matsukata,0.0001641172398690452
dir_Fred Olen Ray,0.00015616874752278351
actor_Kota Srinivasa Rao,0.00015137150605137046
actor_Mick Foley,0.00013214515827024076
actor_Bess Flowers,0.0001268925939525437
prodcomp_United Artists,0.00012515178641808123
actor_Ravi Prakash,0.00012354997994770803
dir_Ram Gopal Varma,0.00012132453429232163
